"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
10,40,0.5,0.5,0.5,0,0.5,5,45,0.6734,0.3249
30,40,0.5,0.5,0.5,0,0.5,5,45,0.7418,0.3118
10,10,0.1,0.1,0.1,0.5,0.5,5,15,1.0742,0.5068
30,10,0.1,0.1,0.1,0.5,0.5,5,15,1.0878,0.4644
10,40,0.1,0.1,0.1,0.5,0.5,5,45,1.0423,0.465
30,40,0.1,0.1,0.1,0.5,0.5,5,45,1.1157,0.4631
10,10,0.5,0.1,0.1,0.5,0.5,5,15,1.0392,0.4128
30,10,0.5,0.1,0.1,0.5,0.5,5,15,0.9967,0.4751
10,40,0.5,0.1,0.1,0.5,0.5,5,45,1.0185,0.4788
30,40,0.5,0.1,0.1,0.5,0.5,5,45,1.0236,0.4706
10,10,0.1,0.5,0.1,0.5,0.5,5,15,0.923,0.3725
30,10,0.1,0.5,0.1,0.5,0.5,5,15,0.7821,0.3781
10,40,0.1,0.5,0.1,0.5,0.5,5,45,0.7505,0.3815
30,40,0.1,0.5,0.1,0.5,0.5,5,45,0.7749,0.3343
10,10,0.5,0.5,0.1,0.5,0.5,5,15,0.8152,0.3768
30,10,0.5,0.5,0.1,0.5,0.5,5,15,0.7549,0.3454
10,40,0.5,0.5,0.1,0.5,0.5,5,45,0.8229,0.3762
30,40,0.5,0.5,0.1,0.5,0.5,5,45,0.7737,0.3402
10,10,0.1,0.1,0.5,0.5,0.5,5,15,1.1263,0.5277
30,10,0.1,0.1,0.5,0.5,0.5,5,15,1.0596,0.436
10,40,0.1,0.1,0.5,0.5,0.5,5,45,1.0172,0.4913
30,40,0.1,0.1,0.5,0.5,0.5,5,45,1.0386,0.4794
10,10,0.5,0.1,0.5,0.5,0.5,5,15,0.9422,0.5263
30,10,0.5,0.1,0.5,0.5,0.5,5,15,1.0155,0.5023
10,40,0.5,0.1,0.5,0.5,0.5,5,45,1.0334,0.4838
30,40,0.5,0.1,0.5,0.5,0.5,5,45,1.0394,0.4692
10,10,0.1,0.5,0.5,0.5,0.5,5,15,0.7504,0.3309
30,10,0.1,0.5,0.5,0.5,0.5,5,15,0.8349,0.3716
10,40,0.1,0.5,0.5,0.5,0.5,5,45,0.7627,0.3798
30,40,0.1,0.5,0.5,0.5,0.5,5,45,0.7335,0.3307
10,10,0.5,0.5,0.5,0.5,0.5,5,15,0.7801,0.3573
30,10,0.5,0.5,0.5,0.5,0.5,5,15,0.7008,0.3061
10,40,0.5,0.5,0.5,0.5,0.5,5,45,0.6617,0.3484
30,40,0.5,0.5,0.5,0.5,0.5,5,45,0.7503,0.3328
10,10,0.1,0.1,0.1,0,0,20,30,1.0718,0.2196
30,10,0.1,0.1,0.1,0,0,20,30,0.9805,0.227
10,40,0.1,0.1,0.1,0,0,20,60,1.0769,0.2473
30,40,0.1,0.1,0.1,0,0,20,60,1.044,0.2237
10,10,0.5,0.1,0.1,0,0,20,30,1.049,0.2325
30,10,0.5,0.1,0.1,0,0,20,30,1.0399,0.2073
10,40,0.5,0.1,0.1,0,0,20,60,0.966,0.2145
30,40,0.5,0.1,0.1,0,0,20,60,1.0181,0.2177
10,10,0.1,0.5,0.1,0,0,20,30,0.8129,0.1673
30,10,0.1,0.5,0.1,0,0,20,30,0.7194,0.1742
10,40,0.1,0.5,0.1,0,0,20,60,0.7678,0.1501
