"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
10,40,0.1,0.1,0.5,0,0,20,60,0.1774,0.0422
30,40,0.1,0.1,0.5,0,0,20,60,0.1394,0.0308
10,10,0.5,0.1,0.5,0,0,20,30,0.2667,0.0431
30,10,0.5,0.1,0.5,0,0,20,30,0.1591,0.0379
10,40,0.5,0.1,0.5,0,0,20,60,0.2143,0.0466
30,40,0.5,0.1,0.5,0,0,20,60,0.1561,0.035
10,10,0.1,0.5,0.5,0,0,20,30,0.5382,0.1149
30,10,0.1,0.5,0.5,0,0,20,30,0.5154,0.117
10,40,0.1,0.5,0.5,0,0,20,60,0.4868,0.1146
30,40,0.1,0.5,0.5,0,0,20,60,0.4538,0.1111
10,10,0.5,0.5,0.5,0,0,20,30,0.5994,0.1136
30,10,0.5,0.5,0.5,0,0,20,30,0.4995,0.1152
10,40,0.5,0.5,0.5,0,0,20,60,0.5517,0.1202
30,40,0.5,0.5,0.5,0,0,20,60,0.4668,0.1119
10,10,0.1,0.1,0.1,0.5,0,20,30,0.1199,0.0269
30,10,0.1,0.1,0.1,0.5,0,20,30,0.1077,0.0233
10,40,0.1,0.1,0.1,0.5,0,20,60,0.1196,0.0261
30,40,0.1,0.1,0.1,0.5,0,20,60,0.1127,0.0236
10,10,0.5,0.1,0.1,0.5,0,20,30,0.1671,0.0312
30,10,0.5,0.1,0.1,0.5,0,20,30,0.121,0.0308
10,40,0.5,0.1,0.1,0.5,0,20,60,0.1538,0.0355
30,40,0.5,0.1,0.1,0.5,0,20,60,0.1561,0.0307
10,10,0.1,0.5,0.1,0.5,0,20,30,0.5161,0.1156
30,10,0.1,0.5,0.1,0.5,0,20,30,0.5027,0.1114
10,40,0.1,0.5,0.1,0.5,0,20,60,0.4859,0.1113
30,40,0.1,0.5,0.1,0.5,0,20,60,0.5393,0.1121
10,10,0.5,0.5,0.1,0.5,0,20,30,0.5237,0.1089
